"FNet (96)";"FNet (128)";"LSTM (96)";"LSTM (128)";"Tranformer (96)";"Tranformer (128)";"Quixer (5 qubits)";"Quixer (6 qubits)";"Quixer (7 qubits)"
157.739300;154.534328;257.637610;232.967738;137.330267;132.975043;190.289084;180.556299;173.323759
163.079695;155.896697;260.995394;233.369802;137.816603;133.204799;191.918825;181.232787;173.911237
163.355733;156.066402;261.451069;235.460434;137.820561;133.397298;192.352264;182.006916;174.824668
163.441514;157.067880;262.188005;237.217524;138.072189;133.403178;192.782397;185.461636;175.168438
163.771798;157.763233;265.801466;237.894583;138.223084;133.469363;193.405464;187.166909;175.540312
164.524017;158.021933;267.931025;238.948091;138.591830;133.920765;195.082135;187.259224;176.236351
164.668315;159.043528;268.825412;240.513021;138.632568;133.936538;195.334263;188.595788;176.940874
164.947760;159.316240;271.050304;241.220987;138.693342;134.090636;195.438518;190.767709;177.710978
165.772028;161.635226;276.282922;241.599982;139.050137;134.170885;195.984586;193.502685;178.161253
166.086154;164.937711;280.141002;242.150017;139.107851;134.445525;197.612279;198.358628;179.385373
